t,epo_level,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs
31,2.5e-09,0.00686129742553974,0.0467150057675074,84.0782120614221
31,2.5e-09,0.00764464100852596,0.0656744364593723,55.8740657966799
31,2.5e-09,0.00801974011740531,0.0567691217203118,84.6824815259325
31,2.5e-08,0.0372832375735542,0.100442824380733,637.213196036506
31,2.5e-08,0.0417724309687699,0.0853778541167244,781.102440359541
31,2.5e-08,0.0544423611391957,0.0521205965837446,615.29083459948
31,1.25e-07,0.080023888451779,0.0892085429726369,3181.41152857334
31,1.25e-07,0.0822998339856688,0.0787290221419367,3362.74122282035
31,1.25e-07,0.110347756828552,0.0501996736814129,2566.71597152212
31,2.5e-07,0.0725771452574854,0.0838120288272875,3868.8841630494
31,2.5e-07,0.106429925956082,0.0887935115461619,3761.22214050903
31,2.5e-07,0.13891610775627,0.0788070897664389,4077.76627412594
31,1.25e-06,0.20301687967344,0.049809495042413,3501.46701349032
31,1.25e-06,0.230986644962632,0.0522647708286556,3517.4030713414
31,1.25e-06,0.274299251095101,0.0655148356510091,5102.23422334662
31,2.5e-06,0.246728125476082,0.0615149149055409,5614.02519212436
31,2.5e-06,0.315208663673225,0.0697055951627066,4317.20254658733
31,2.5e-06,0.374937075933921,0.0742898705999008,3439.68861900297
