t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs,CISnRNA5_Obs,SOCS3RNA_Obs,SHP1Act_Obs,Compound_1_Obs
0,0,8.10884221156997e-05,0.000130975949386345,9.77413661139467,12.2218608424452,8.24371967180577e-05,0.000107653042688899,0.0131385122732908
15,NaN,NaN,NaN,257.544989636354,33.988101199702,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.5313664405054
25,NaN,0.0898063378985648,NaN,NaN,NaN,NaN,NaN,NaN
30,0.08095078717381,NaN,NaN,NaN,726.147274239528,NaN,NaN,NaN
35,NaN,NaN,0.0631368952731244,2481.95163857365,NaN,0.0288467590252884,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,0.0730113932169539,11.6996769757827
50,NaN,NaN,NaN,3845.91227381368,3303.69287814887,NaN,NaN,NaN
55,NaN,0.0463852592072593,NaN,NaN,NaN,NaN,NaN,NaN
60,0.0572859561107729,NaN,NaN,NaN,NaN,NaN,NaN,5.63185825053319
65,NaN,NaN,NaN,NaN,3593.52991490276,NaN,NaN,NaN
70,NaN,NaN,0.0384682782882063,4194.90369266247,NaN,0.0428385721209495,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.106725912183026,NaN
85,NaN,0.0816230763627659,NaN,NaN,NaN,NaN,NaN,2.59195428056219
90,0.0778977574761468,NaN,NaN,NaN,1928.02692063772,NaN,NaN,NaN
95,NaN,NaN,NaN,1541.49066158337,NaN,NaN,NaN,NaN
100,NaN,0.0618179843861612,0.0475702502873476,1635.25952771963,1916.96253771263,0.0750362572350119,0.0581115002311497,4.19015390636984
150,0.0743964541906989,0.0405723963502577,0.0156248522009245,892.900632980899,1178.00534759288,0.0423791919137197,0.0820106435596095,4.59188151660454
200,0.0748589740423835,0.0372338521256512,0.026010035790509,583.607867974371,762.018300182256,0.0444324173362411,0.066307857359532,3.2399083608535
250,0.0857194364790136,0.0704398261060887,0.0207616075592674,1018.36541614724,961.586137489726,0.0677833801876858,0.0734093511938382,2.09991689661745
300,NaN,0.0604583250228202,0.0208965316097487,NaN,NaN,0.0595966045796205,NaN,2.92824524928389
350,0.0538825295427277,0.0492234612201625,0.0184521571516047,NaN,NaN,NaN,0.153757860029158,NaN
400,0.0837769804598194,NaN,NaN,NaN,NaN,0.0557042027132214,0.0776155241226454,NaN
450,NaN,NaN,0.0193423907528576,NaN,NaN,0.058989097370606,NaN,NaN
500,NaN,NaN,0.0172972206221821,NaN,NaN,NaN,0.164932731181411,NaN
550,NaN,NaN,NaN,NaN,NaN,0.0456288339468673,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,0.0713690409162168,NaN
650,NaN,NaN,0.0171263606904011,NaN,NaN,0.0584295098066998,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,0.0893140329252506,NaN
