t,epo_level,Compound_1_Obs
7,2.5e-09,0.424661804191165
7,7.905e-09,2.60282580531243
7,1.25e-08,2.27466279059689
7,1.25e-08,2.46760507985108
7,1.25e-08,2.60843169968104
7,1.75e-08,2.60051932584671
7,2.5e-08,14.4801294442225
7,3.95e-08,10.8893606798981
7,3.95e-08,13.390441027449
7,3.95e-08,14.5785173986663
7,7.9e-08,20.1660980517151
7,1.25e-07,22.4892325000681
7,1.7675e-07,29.2749213484083
7,2.5e-07,33.0333811360569
7,2.5e-07,38.6809777466078
7,2.5e-07,48.831283771299
7,7.905e-07,46.7520616199445
7,7.905e-07,51.5144102889107
7,7.905e-07,54.2230264923712
7,2.5e-06,58.3445917932382
