t,epo_level,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs
6,2.5e-09,0.00658697692344509,0.0100692213516267,0.0845115087895226
6,2.5e-09,0.0083941329891134,0.0166929841706112,0.144874529463399
6,2.5e-09,0.0123324622237662,0.0179827162430152,0.152584280771455
6,2.5e-08,0.0410883291905738,0.204102975909372,0.41488541583111
6,2.5e-08,0.0570322453242747,0.132135820912819,0.246776270451605
6,2.5e-08,0.0596994792244507,0.182055727447743,0.251495520944357
6,2.5e-07,0.340676503218587,0.768130861986242,7.70228950979475
6,2.5e-07,0.343284108255983,0.699908721435341,7.2827845873712
6,2.5e-07,0.384604401504754,0.807344963455997,8.52071374105494
6,2.5e-06,0.628374738355062,0.824220998463978,31.5630919036464
6,2.5e-06,0.94671010795721,0.965691391484184,29.1865366758656
6,2.5e-06,1.02454018583332,0.714072123274937,43.942888387712
6,2.5e-05,0.880068672409959,0.83870466954896,48.3869215080438
6,2.5e-05,1.42090433432737,0.81702344814853,50.7928086819064
6,2.5e-05,1.69486998513056,0.997492289226784,68.8585467764525
