t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs,Compound_1_Obs
0,0,9.25475524499055e-05,7.34117394827874e-05,1.45398868814166,0.0067325430845237
7,NaN,NaN,0.0719608404402128,NaN,NaN
10,NaN,0.105311728108578,NaN,NaN,1.28652390680397
15,0.0924357816571456,NaN,0.10636879118651,6.9737666625238,NaN
20,NaN,0.0565920427465655,0.0647529466785952,NaN,1.57869766440326
25,0.0722175986891903,NaN,NaN,87.9912944878953,NaN
30,NaN,NaN,0.0345964767607094,NaN,NaN
35,NaN,0.0263981985641426,NaN,NaN,1.03996393636856
40,0.052899365813357,NaN,0.0202055887209197,246.636890438924,NaN
45,NaN,0.0442343022362298,NaN,NaN,1.59060636578154
55,0.0425901419465033,NaN,0.0109241743005419,362.901469284998,NaN
60,NaN,0.0415424345988372,NaN,NaN,0.975554549612927
65,NaN,NaN,0.0119607037782341,NaN,NaN
70,0.0521816782204773,NaN,NaN,542.089033561937,NaN
75,NaN,0.0291037514014148,NaN,NaN,0.77767223381918
85,NaN,NaN,0.00555986129390335,NaN,NaN
90,0.0553687909183694,NaN,NaN,477.147992970599,NaN
95,NaN,0.0293592181829531,NaN,NaN,0.899118300860232
100,0.0632759724707937,0.0227875602410514,NaN,295.804346014108,0.982523919145414
150,0.0758601475296772,0.0242163878212021,NaN,262.038963932869,1.31246183081847
200,0.047561912521226,NaN,NaN,193.099722729548,0.372229803987878
250,NaN,NaN,NaN,271.028206803462,NaN
300,NaN,NaN,NaN,205.355347303104,NaN
