t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs,Compound_1_Obs
0,0,8.34025646554003e-05,0.000928528673540056,9.31582392080192,0.0655088307837654
4,NaN,NaN,NaN,14.8049165635866,NaN
6.5,NaN,NaN,NaN,NaN,34.6020034193182
7,0.0697786001775904,NaN,0.72406900349167,NaN,NaN
7.5,NaN,0.22993341242451,NaN,NaN,NaN
8.5,NaN,NaN,NaN,52.4628827195013,NaN
15,0.0778621896229582,0.143363998113435,0.156043293562112,483.137263034969,21.3904481564468
20,0.0757909457308144,NaN,0.174576528023341,987.476426186052,22.0163462294099
25,NaN,0.117234995272452,NaN,1552.65421318729,NaN
30,0.0750051973176762,NaN,0.0742677662242474,2731.45536118818,18.8643626294876
35,NaN,0.0969430548885906,NaN,3875.8722278164,13.2730318753996
40,0.0731536935961209,NaN,0.048901594742149,NaN,NaN
45,NaN,0.0711039765940155,NaN,2986.31203434416,6.89310320201255
50,0.0467925442396137,NaN,0.0374519172430734,2551.87465054726,NaN
55,NaN,0.0898145603829537,NaN,NaN,6.7793667340247
60,0.0902054906796499,NaN,NaN,3044.7582550853,NaN
65,NaN,NaN,0.0293627115429654,NaN,NaN
70,NaN,0.037058167858547,NaN,NaN,4.51773521429864
75,0.101434006424744,NaN,NaN,2031.57879852865,NaN
80,NaN,NaN,0.0305947894862676,NaN,NaN
85,NaN,0.0444330604198708,NaN,NaN,4.80978746447942
90,0.0804829522795166,NaN,NaN,1694.36220527938,NaN
100,0.0743739654635901,0.0502334477650176,0.0256582480100676,2028.82058053052,3.9278003065193
150,0.0632260451543414,0.0415641159576651,NaN,NaN,3.05399087002561
