t,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs
0,0.00116479338894695,0.000821925961796331,8.83226898357416
5.5,NaN,NaN,31.2589925438611
6,0.739511710597082,NaN,NaN
7,NaN,0.781617849965775,NaN
10,0.236045327851914,NaN,277.407372474095
15,NaN,0.190628734633858,1287.31050042279
20,0.278308445240475,0.154032786796704,2102.21145758769
25,0.404621310375901,NaN,NaN
30,NaN,0.0589220715794887,5603.82465618624
35,0.229576530678404,NaN,4526.14711866736
40,0.204275057340978,0.0488055119363658,NaN
45,NaN,NaN,5747.64184941457
50,0.174507104768598,NaN,NaN
55,NaN,0.0525599760749573,4162.49675253419
60,0.134973609624593,NaN,NaN
65,NaN,NaN,4781.31321171363
70,NaN,0.0219326429447415,NaN
75,0.0867333925402045,NaN,5866.64154773283
90,0.100187944847518,0.0126877628070988,3377.2569582175
100,0.096832992094051,NaN,3271.5065422687
150,NaN,NaN,2195.67279068394
