t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs,Compound_1_Obs
0,0,0.000111264855402803,0.000127784136921074,5.10752014207822,0.0111073867568798
4,NaN,NaN,0.304591020573911,NaN,NaN
4.5,NaN,NaN,NaN,14.0466171324438,NaN
6,NaN,0.103031303050203,NaN,NaN,20.4860119371158
7.5,0.0823317732798145,NaN,NaN,NaN,NaN
8.5,NaN,NaN,0.258304721474218,NaN,NaN
9,NaN,NaN,NaN,50.162181273309,NaN
10,NaN,0.11006598817887,NaN,NaN,NaN
15,0.0957046965799997,NaN,0.0689585158700475,236.96708038181,21.189029108061
20,NaN,0.0644999642641131,0.0376925747344484,653.233294726859,27.5087640918176
25,0.0798331610620273,0.0727156164793741,0.0263068715858521,1252.71924917557,16.5065317526211
30,NaN,NaN,0.0334085767584353,1653.60952201644,NaN
35,0.0748267385358105,0.0454263605114397,0.0205799887933367,3777.48969745973,10.2898297152186
40,NaN,0.0419917470086138,NaN,NaN,NaN
45,0.0505452461063508,NaN,0.0159912582755394,3521.5095266218,10.5515360413915
50,NaN,0.0284942837984193,NaN,NaN,NaN
55,0.0467538175295642,NaN,0.0114817167370274,2729.13362129011,5.06451258916759
60,NaN,0.0249548308493854,NaN,NaN,NaN
65,0.0523173420198649,NaN,NaN,3078.08492242747,4.94081203043298
75,NaN,0.0352689675317855,NaN,3210.48978186138,3.34904321837666
85,0.0367455763394933,NaN,NaN,NaN,NaN
90,NaN,0.0306073068833086,NaN,1507.12219440113,NaN
95,NaN,NaN,NaN,NaN,2.71087591039475
100,0.0510416019135223,0.034888755367027,NaN,1662.74281464461,2.53946411330754
150,NaN,NaN,NaN,NaN,1.77488137387603
