t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA3_Obs,Compound_1_Obs
0,0,0.000114276661344576,0.000104964634272106,1.20280817409926,0.00108097789864607
6.5,NaN,NaN,0.0372061990801323,NaN,NaN
10,0.0655485830901054,0.128512482806656,NaN,NaN,NaN
15,NaN,NaN,0.100380514913895,15.2095340480262,1.80318522203033
20,NaN,NaN,0.0513984576360848,NaN,NaN
25,0.0702332749122382,0.0482882506854114,NaN,62.453229637511,1.5113304825542
30,NaN,NaN,0.0351294566592581,NaN,NaN
40,0.0879569967192955,0.0359106675977218,0.0186159039213737,174.268302097759,2.07440482036614
50,NaN,NaN,0.0181879940752812,NaN,NaN
55,0.0720294396395037,0.0213707926419353,NaN,426.942810133545,1.33783935622465
65,NaN,NaN,0.00845715843953944,NaN,NaN
70,0.0742432632801614,0.0230787568738468,NaN,274.762765872296,0.827760501231409
80,NaN,NaN,0.0117595304302665,NaN,NaN
90,0.053456663208467,0.0273759473770735,NaN,289.585790339599,0.788963912954272
100,0.0455787221228978,0.0152161316844078,NaN,382.620581287245,0.945801314890185
150,0.0414207555172351,0.021113494124135,NaN,269.140667436998,0.724334018919721
200,0.0433458546246555,0.0122705795975813,NaN,220.04036803072,0.435068623180396
250,NaN,NaN,NaN,135.492509125632,0.487995019666642
300,NaN,NaN,NaN,85.7677144561371,NaN
