t,Epo_Obs,EpoR_Obs,Epo_EpoR_Obs,Epo_EpoR_i_Obs,dEpo_i_Obs
0,1720.41929797181,889.361734332628,-35.68801377293,-5.17545779214198,19.00125895259
10,1009.47191733564,NaN,NaN,NaN,NaN
15,NaN,NaN,288.669126159512,NaN,NaN
20,879.85333368425,NaN,NaN,NaN,2.61799467355047
25,NaN,377.196547458218,NaN,NaN,NaN
30,NaN,NaN,188.106854075282,NaN,NaN
35,762.518110249454,NaN,NaN,680.265317397793,NaN
45,NaN,NaN,137.081736504943,NaN,29.0892415237246
50,530.967220468852,NaN,NaN,NaN,NaN
55,NaN,269.377894069249,NaN,NaN,NaN
60,NaN,NaN,82.5089805463255,NaN,NaN
65,533.495555874885,NaN,NaN,721.343483278519,NaN
70,NaN,NaN,NaN,NaN,73.2996023092377
80,NaN,NaN,97.0831056150942,NaN,NaN
85,45.9035773572641,646.926040214456,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,59.8812917777818
100,547.591841906,280.954102815041,54.4886528225369,507.119032617953,73.8948814999005
150,-145.067550433372,702.536912648186,21.8371083267732,377.522167992093,130.168202254984
200,NaN,758.123607347148,NaN,131.946516600236,134.399263296046
250,NaN,1075.40162413133,NaN,44.5716071044213,137.495425375463
300,NaN,955.353257503192,NaN,NaN,149.652058145701
350,NaN,1024.08937412526,NaN,-14.7016713341692,175.008440258396
400,NaN,NaN,NaN,-55.95195969014,NaN
450,NaN,1285.04688121363,NaN,-12.7035044431335,NaN
500,NaN,951.400077641001,NaN,NaN,NaN
550,NaN,NaN,NaN,-36.9069476566848,NaN
600,NaN,963.955879667962,NaN,NaN,NaN
650,NaN,NaN,NaN,-65.7261828842161,NaN
