t,IPR_O_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00477669170179732,-1.10029662756005e-09,-0.0219526113216784,-0.0147071457709081,0.0464570068704948
0.3,NaN,NaN,NaN,NaN,0.256240647516105
0.35,NaN,NaN,0.125922828942289,NaN,NaN
0.4,NaN,NaN,NaN,0.623820997458166,NaN
0.5,0.0303810080687226,NaN,NaN,NaN,NaN
0.65,NaN,NaN,NaN,NaN,0.419440743333857
0.75,NaN,NaN,0.138264515077886,NaN,NaN
0.8,NaN,NaN,NaN,0.398682436634264,NaN
1,0.0177117631982358,NaN,0.14473886186555,0.43125731023046,0.463146123520193
1.5,0.0248500216333306,1.06368368179555e-07,0.132060467156413,0.324372469293793,0.642674195564282
2,0.0160992041737943,NaN,0.0971577488572259,0.417779550605085,0.506012518290231
2.5,NaN,NaN,0.0985269104232692,NaN,0.655430689332925
3,0.0195268899793247,NaN,NaN,0.329025180161642,0.523964892803499
3.5,NaN,3.28893167547507e-08,0.104853335629877,0.361879588249371,NaN
4,0.0202153300851554,NaN,0.0902547141075741,NaN,0.564793561082428
4.5,NaN,NaN,NaN,0.403910980647409,0.506887529118107
5,0.0147041985970618,1.04429592203001e-08,0.110204943800729,NaN,NaN
5.5,NaN,NaN,NaN,0.306144089277767,0.54958679617127
6,0.0146464832031726,NaN,0.102902591617644,NaN,NaN
6.5,NaN,NaN,NaN,0.390193589523631,0.549809079348003
7,NaN,2.41164692962347e-09,NaN,NaN,NaN
7.5,0.0193560221592888,NaN,NaN,NaN,NaN
9,NaN,1.29486111847717e-09,NaN,NaN,NaN
10,NaN,-9.81167970530514e-10,NaN,NaN,NaN
15,NaN,4.7387769146583e-09,NaN,NaN,NaN
20,NaN,-3.67864668687417e-09,NaN,NaN,NaN
