t,IPR_O_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,7.7290836832079e-05,7.62876956391216e-09,-0.00082574799800512,0.0744094889860681,0.0549162110110802
0.2,NaN,NaN,NaN,0.441715711597165,0.083523531976517
0.25,0.0114885453817223,NaN,NaN,NaN,NaN
0.3,NaN,NaN,0.0195492799409268,NaN,NaN
0.4,NaN,NaN,NaN,0.572632025792876,0.469348394609952
0.55,0.0120170046176893,NaN,NaN,NaN,NaN
0.6,NaN,NaN,NaN,0.412140803877807,NaN
0.65,NaN,NaN,0.0482619265422123,NaN,0.515521398529451
0.8,NaN,NaN,NaN,0.426471605737973,NaN
0.85,0.00844470811476671,NaN,NaN,NaN,0.649533802183607
0.95,NaN,NaN,0.049701648901153,NaN,NaN
1,0.00760588084341513,NaN,NaN,0.312107712734556,0.682455257323403
1.5,0.00597588613146563,4.46640098703379e-07,0.0388732417900659,0.262243563891435,0.812241341684389
2,0.00564831139207096,NaN,0.0288562532055026,0.242239613485763,0.819396378009302
2.5,0.00602142695365873,NaN,0.036237061814485,0.23704531800651,0.624194595149033
3,0.00649452016179975,1.38617662387276e-07,0.0310041540995331,0.269404778401271,0.687162283136229
3.5,0.00493728503896418,NaN,NaN,0.218964789939442,0.860317777943419
4,0.0055625094290633,NaN,0.0347974492588827,0.197265618022778,NaN
4.5,NaN,2.9197966551097e-08,0.0310465277250001,NaN,NaN
5,0.00554177459522495,NaN,NaN,NaN,NaN
5.5,NaN,NaN,0.0282898176693657,NaN,NaN
6,NaN,4.2654006972459e-08,NaN,NaN,NaN
6.5,NaN,NaN,0.0268007195429491,NaN,NaN
8,NaN,1.04068472588978e-08,NaN,NaN,NaN
10,NaN,9.77385631461877e-09,NaN,NaN,NaN
15,NaN,3.24938953702124e-08,NaN,NaN,NaN
20,NaN,8.0981301776677e-10,NaN,NaN,NaN
