t,IPR_O_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.000291093642180168,-3.51907580648507e-09,0.00142077408262336,-0.0101449179828523,-0.0766373618429029
0.15,NaN,NaN,NaN,0.678352806377922,NaN
0.2,NaN,NaN,NaN,NaN,0.251812155586843
0.25,0.00310238424927204,NaN,NaN,0.559001411267361,NaN
0.35,NaN,NaN,0.0126055385474596,NaN,NaN
0.4,NaN,NaN,NaN,0.417383014965878,0.596326316800486
0.45,0.00205401084051022,NaN,NaN,NaN,NaN
0.55,NaN,NaN,NaN,0.329703702574616,NaN
0.65,NaN,NaN,NaN,NaN,0.651270904996646
0.7,0.00162353105679604,NaN,0.0110802129226976,NaN,NaN
0.75,NaN,NaN,NaN,0.303120136458947,NaN
0.9,NaN,NaN,NaN,NaN,0.928611835801423
0.95,NaN,NaN,NaN,0.221211956607355,NaN
1,0.00104076151175213,NaN,0.00947835279016115,0.182566583240805,0.914008005744991
1.5,0.000834491077571287,1.3209764517766e-07,0.00525158068016741,0.193544189247291,0.833680349145609
2,0.000585974203535279,NaN,0.00609208370826403,0.14916466131919,0.862296874794166
2.5,0.000838107977406207,NaN,0.00507832974102291,0.135744067791814,NaN
3,0.000986368072801281,NaN,0.00663883500263602,NaN,NaN
3.5,NaN,3.33529383859175e-08,NaN,NaN,NaN
4,0.000898728179536921,NaN,0.00439508563503608,NaN,NaN
5,NaN,7.13478206333315e-09,0.00545592994957865,NaN,NaN
6,NaN,NaN,0.00543864630151006,NaN,NaN
7,NaN,2.15135603546637e-09,NaN,NaN,NaN
9.5,NaN,-3.90698710502112e-10,NaN,NaN,NaN
10,NaN,-4.03972867023536e-10,NaN,NaN,NaN
15,NaN,2.06699260006823e-09,NaN,NaN,NaN
20,NaN,-1.43261767997456e-09,NaN,NaN,NaN
