t,IPR_O_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.00135134776360544,2.42662635510744e-09,-0.000373039844603271,0.055352105131745,0.0218915543136671
0.15,NaN,NaN,NaN,0.667422587257166,NaN
0.2,0.0165245671833592,NaN,NaN,NaN,0.182300360067333
0.3,NaN,NaN,0.0468268788653296,0.507695748964499,NaN
0.4,0.0128987101624688,NaN,NaN,NaN,0.414450339234831
0.45,NaN,NaN,NaN,0.535942272325206,NaN
0.65,0.00847869669591081,NaN,0.0546211886757898,0.464619216640032,0.472107580627012
0.8,NaN,NaN,NaN,0.344878072170013,NaN
0.9,0.00820844902722662,NaN,NaN,NaN,0.506187827346342
0.95,NaN,NaN,0.0527121227842859,NaN,NaN
1,0.00529512425246849,NaN,NaN,0.313103660975695,0.59162012015795
1.5,0.00607323646960482,1.21819689392694e-07,0.0409719875541002,0.251311329977086,0.688552722112211
2,0.00582553852980867,NaN,0.0338296476818739,0.238882583563153,0.778820877305747
2.5,0.00548344646879291,NaN,NaN,0.270797258572071,0.63565397715901
3,0.00748508896092861,4.41469689575536e-08,0.0288790410930659,0.254099757860256,0.659027071214534
3.5,0.00612185684549038,NaN,0.0290306108083239,NaN,0.718845088245665
4,NaN,NaN,NaN,NaN,0.637872247998224
4.5,NaN,NaN,0.035296328167404,NaN,NaN
5,NaN,1.56166316902683e-08,0.04069989179831,NaN,NaN
7,NaN,3.81780256250666e-09,NaN,NaN,NaN
9,NaN,4.09051293921922e-10,NaN,NaN,NaN
10,NaN,3.04376028170722e-09,NaN,NaN,NaN
15,NaN,-5.61466542940686e-10,NaN,NaN,NaN
20,NaN,-1.651611236373e-10,NaN,NaN,NaN
