t,IPR_O_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-2.05390277083239e-06,3.72837141048689e-09,-2.73295906180004e-07,0.0187299634616801,0.0935305768842952
0.08,5.25694313338429e-05,NaN,NaN,NaN,NaN
0.1,NaN,NaN,NaN,0.595900310952776,NaN
0.15,5.6803790718727e-05,NaN,NaN,NaN,0.289178670621904
0.25,3.82737972983105e-05,NaN,NaN,0.428509814162208,0.613039339548614
0.35,3.13113115910178e-05,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,0.211210809261781,0.653311664076734
0.45,1.45084223155333e-05,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,0.154679121956716,NaN
0.55,1.37872996263981e-05,NaN,NaN,NaN,NaN
0.6,NaN,NaN,0.000112834297648523,NaN,1.02197841729154
0.65,1.47606743516224e-05,NaN,NaN,NaN,NaN
0.7,NaN,NaN,NaN,0.133545563250937,NaN
0.8,1.23642710478238e-05,NaN,NaN,NaN,0.862032804218117
0.85,NaN,NaN,NaN,0.187694029869107,NaN
0.95,1.20584853340793e-05,NaN,NaN,NaN,NaN
1,1.00912681082488e-05,NaN,8.7425983484882e-05,0.134179373830849,0.883814128086776
1.5,1.03196092653623e-05,1.35979094673492e-07,NaN,0.126193922489408,0.804228225934742
2,NaN,NaN,6.29358832671584e-05,0.110801117392128,0.85348562643273
2.5,NaN,NaN,6.23329068699471e-05,0.138406016332008,NaN
3,NaN,4.86839080823319e-08,NaN,NaN,NaN
3.5,NaN,NaN,6.70625050226635e-05,NaN,NaN
4.5,NaN,NaN,5.19574926188541e-05,NaN,NaN
5,NaN,1.68510994678682e-08,NaN,NaN,NaN
6,NaN,NaN,6.88865644436499e-05,NaN,NaN
7,NaN,5.38213855438118e-09,NaN,NaN,NaN
7.5,NaN,NaN,6.46364379297419e-05,NaN,NaN
9,NaN,9.49663181879268e-10,NaN,NaN,NaN
10,NaN,-2.90403478735835e-10,NaN,NaN,NaN
15,NaN,3.5861900710159e-09,NaN,NaN,NaN
20,NaN,4.25982510463854e-09,NaN,NaN,NaN
