t,IPR_O_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,3.36000563843225e-05,1.09960246459921e-09,-4.01140758755433e-06,-0.0505951648439164,-0.0280552525610718
0.15,NaN,NaN,NaN,0.596082597894471,0.332979878540282
0.2,0.00046272595534038,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,0.446611868660755,NaN
0.3,NaN,NaN,NaN,NaN,0.514965424757937
0.35,NaN,NaN,0.00158574219768039,NaN,NaN
0.4,NaN,NaN,NaN,0.288919733005827,NaN
0.45,0.000211142328313048,NaN,NaN,NaN,0.791848234556248
0.55,NaN,NaN,NaN,0.234165533272168,NaN
0.65,NaN,NaN,0.00145598752886554,NaN,0.876265496094332
0.7,0.000143892704426939,NaN,NaN,0.169530923323105,NaN
0.8,NaN,NaN,NaN,NaN,0.684749748084452
0.9,NaN,NaN,NaN,0.190618981442987,NaN
0.95,0.000134252796109284,NaN,NaN,NaN,NaN
1,NaN,NaN,0.0011054381229081,0.093866852812878,0.919917194258099
1.5,0.000141681313197799,NaN,0.000603913895736537,0.181017118970147,0.922757685573965
2,0.000145441726075147,NaN,0.000680374791658821,0.105017792049171,0.794519407883776
2.5,0.000141622056934871,NaN,0.000571823963278344,0.134726117997439,0.827581581669663
3,0.000142306698019216,4.55559600579915e-08,0.000613711721277765,NaN,0.834390713849099
3.5,0.000109331592483368,NaN,NaN,NaN,NaN
4,NaN,NaN,0.00063106136460279,NaN,NaN
4.5,NaN,NaN,0.000722734949746465,NaN,NaN
6.5,NaN,4.82329454773491e-09,NaN,NaN,NaN
10,NaN,4.43723886435036e-10,NaN,NaN,NaN
15,NaN,-6.08716238955412e-10,NaN,NaN,NaN
20,NaN,-7.41192041270254e-10,NaN,NaN,NaN
