t,IPR_O_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.000233589935136884,-5.82590504301765e-09,0.00777074228701309,0.0019898166053249,-0.077578491574447
0.15,NaN,NaN,NaN,NaN,0.0356470705544751
0.25,0.0144380491086753,NaN,NaN,0.68643421633403,NaN
0.3,NaN,NaN,0.0393356789298971,NaN,0.306479793482149
0.4,NaN,NaN,NaN,NaN,0.405212274894974
0.45,0.0133009525459122,NaN,NaN,0.513679833915819,NaN
0.6,NaN,NaN,NaN,NaN,0.434173675640563
0.65,NaN,NaN,0.0537856321380196,NaN,NaN
0.7,0.00863543815151733,NaN,NaN,0.381607991870562,NaN
0.75,NaN,NaN,NaN,NaN,0.523233821574829
0.95,0.00788218874260828,NaN,0.0533596521320347,0.373226681691046,0.612087363999631
1,0.00799815016234248,NaN,NaN,NaN,0.454503655524991
1.5,0.0062329438018553,2.51987366311953e-07,0.0452044981146648,0.302356299650094,0.764067339165057
2,0.00638267163465966,NaN,0.0309279609687987,0.310343970486661,0.708400636982705
2.5,0.00512741915769734,NaN,0.0405883090735794,0.304004073009503,0.692663244390786
3,0.00613916942676915,7.84916294037534e-08,NaN,0.227987168201144,0.809581905385975
3.5,0.00646689335544744,NaN,0.0243696431248743,0.299843698532611,NaN
4,0.00398692115576062,NaN,0.032306105407725,0.250644491126755,NaN
4.5,NaN,3.19386911815269e-08,NaN,NaN,NaN
5,NaN,NaN,0.0263599229297954,NaN,NaN
6,NaN,2.11147868104811e-08,0.0340340606219747,NaN,NaN
8,NaN,-5.1259020884511e-09,NaN,NaN,NaN
10,NaN,-4.53026750856697e-09,NaN,NaN,NaN
15,NaN,-6.56728672707152e-09,NaN,NaN,NaN
20,NaN,3.0495517623966e-09,NaN,NaN,NaN
