t,IPR_O_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.00351303600164461,2.03531909098335e-10,-0.0259088148919843,-0.00738055211382472,-0.0197554497846602
1.5,NaN,NaN,NaN,0.434298894300326,NaN
2,0.0457758013785099,NaN,NaN,NaN,NaN
2.5,NaN,4.36463576141837e-08,NaN,NaN,NaN
3.5,NaN,NaN,0.204647501469448,0.402204131761301,0.343165811607671
4.5,0.037181716112278,NaN,NaN,NaN,NaN
5.5,NaN,6.56621258239254e-09,NaN,0.355095554736296,NaN
7,0.0453254970176523,NaN,0.278769790426915,NaN,NaN
7.5,NaN,NaN,NaN,0.441519930419749,0.362594250266131
9,NaN,8.85646620737856e-10,NaN,NaN,NaN
10,0.0497499190824696,NaN,0.236552822775152,0.356304619510844,0.350270268749932
15,0.0346741936760492,-1.35274033711576e-09,0.249558748935705,0.379962440426377,NaN
20,0.0467254596875491,-7.93118122007345e-10,NaN,0.395284828708427,0.377633198364467
