t,RIIp_2_Obs,AC_Fsk_Obs
0,0.0452312606001846,0.209878702848784
10,0.0405523795331653,NaN
20,0.0285680986474391,-0.287272374605987
35,0.0492215196351248,NaN
40,NaN,-0.0539145430556375
45,0.0444970800875326,NaN
55,NaN,-0.0369115872257163
65,0.0587399837721065,NaN
80,NaN,0.00574977193614509
85,0.0420630590713403,NaN
100,NaN,0.332186692923048
150,NaN,0.233228747079864
200,NaN,0.412051017882201
250,NaN,-0.0122094125278291
300,NaN,-0.241935166311075
350,NaN,-0.0674489769286247
450,NaN,-0.123095556055563
