t,X_mRNA_Obs,Y_mRNA_Obs,GFP_mRNA_Obs
0,120.836516465872,1721.27633887887,1.8576438307894e-05
6.5,NaN,NaN,8.29093248727963e-09
15,NaN,NaN,7.62519848741604e-09
20,NaN,1.38227581104419,7.56377831604446e-09
25,0.175719841143099,NaN,NaN
30,NaN,NaN,7.53504278760041e-09
35,NaN,1.30843177774565,NaN
40,NaN,NaN,1.18890047805038e-08
50,0.765710705740599,NaN,6.94144666653148e-09
55,NaN,2.72826913164838,NaN
65,NaN,NaN,9.8252915987741e-09
75,4.80237389659754,NaN,NaN
80,NaN,1.15033361678054,NaN
100,3.5671313170277,1.30300277910713,NaN
150,0.261869991620027,4.08607357100192,NaN
200,6.13390348186468,1.29423720901185,NaN
250,NaN,2.61472847850192,NaN
300,3.73331095792351,1.33161225976269,NaN
350,0.278752718031959,3.24170574572813,NaN
