t,Y_protein_Obs,Y_mRNA_Obs,GFP_mRNA_Obs
0,1340.00614635296,832.062313500037,8.70757663271716e-06
5.5,NaN,NaN,-4.25425773942302e-08
10,NaN,NaN,-9.69471417976104e-08
20,NaN,2.93802129322807,1.72331612112406e-08
25,NaN,NaN,3.46523967576309e-08
30,NaN,NaN,-1.23742783515972e-07
35,16432.6963720427,NaN,NaN
40,NaN,3.48066702802328,1.01913116731063e-07
50,NaN,NaN,-1.54260444275307e-07
60,NaN,-4.05640911537544,NaN
65,NaN,NaN,2.56098048286075e-08
75,7072.06934423603,NaN,NaN
85,NaN,-0.698677895597484,NaN
100,3945.68226191656,-20.9574337925288,NaN
150,2049.67965208694,10.6397511951118,NaN
200,775.547621847996,-13.6658855212435,NaN
250,1198.38389021892,-10.4540560531842,NaN
300,29.7201027049687,18.7470198144049,NaN
350,NaN,7.97102697086272,NaN
400,451.780092461019,NaN,NaN
450,592.239290542503,NaN,NaN
550,595.295574734108,NaN,NaN
