t,input_il6,Compound_5_Obs,Compound_6_Obs
45,0,48.954232359555,21.7470081097377
45,0,46.9209562628803,24.1764936768501
45,0.5,47.2143288196231,24.395572498369
45,0.5,49.2918995401724,22.1947296491625
45,1,53.6490849445287,22.6178183505806
45,1,50.0518318938951,22.0629731296499
45,2.5,53.0580688659653,27.0015077288901
45,2.5,48.5082872689534,26.7376364189004
45,5,56.2657437246831,34.9069455082108
45,5,57.7722512261679,35.4110589809131
45,10,47.8688230220353,23.2556422541238
45,10,46.9701250600991,24.8710090072859
45,25,55.0292902608281,30.6925817325415
45,25,47.5247920378942,30.109138175289
45,50,50.9734855712715,27.064846975732
45,50,45.0601511807197,22.8561308302812
45,100,54.5520733053071,35.3555163733958
45,100,52.3103993426042,31.6512508328162
45,500,55.0645418483326,35.9507009808456
45,500,58.2381225878665,36.4469621547816
