t,input_il6,Compound_5_Obs,Compound_6_Obs
78,0,48.8243581672734,26.7704934732748
78,0,46.9464529277214,27.073701265721
78,0.0005,49.0500535997164,27.8273085372225
78,0.0005,50.1462914493544,28.2337688063859
78,0.005,52.3131188336115,29.794725506708
78,0.005,51.3699099884389,29.5885513144844
78,0.005,46.5667490249769,27.7822732276512
78,0.005,58.5349548396783,28.950110923368
78,0.005,51.8478703360044,27.8508874989882
78,0.005,46.4978627315528,26.2519270254938
78,0.005,54.5415280155173,25.1190524841906
78,0.005,48.0430571194371,26.9065852151426
78,0.05,52.9947443986333,26.3544379176876
78,0.05,51.8421087554374,25.6967208105129
78,0.05,50.8063774297742,25.5032482673947
78,0.05,51.7381283076685,27.4314476241479
78,0.1,51.39518894401,26.6391616455726
78,0.1,47.7449333702029,30.7778170137494
78,0.1,49.8418448319578,26.2519549624265
78,0.1,49.2137492887648,25.8272039260534
78,0.1,50.1289985679565,26.7633659408865
78,0.1,54.5209917877915,27.2548397078509
78,0.1,50.2127250344141,26.6863908314817
78,0.1,55.6758668603664,27.1351713923794
78,0.5,50.0233898937027,31.077002412325
78,0.5,50.4913657017634,27.9493227089824
78,1,50.8632975399661,29.5898855055652
78,1,49.3446135581404,29.4624958527022
78,1,46.4483601109431,28.7986190289811
78,1,48.2390992712772,28.3305532526127
78,1,54.5595156969696,28.6796420094911
78,1,52.6042667400212,29.6825355249213
78,1,52.5566361687802,28.7221701968699
78,1,55.0842574620437,30.8061567359676
78,2.5,56.3747284432229,36.8755227110191
78,2.5,53.9349612589164,35.5595189067598
78,5,63.1973154146555,44.3865350304669
78,5,61.5670999113865,43.4164864618539
78,5,57.7405361114104,31.0740061355296
78,5,50.309484498601,32.6386578352654
78,5,62.7249880493904,44.7268110262604
78,5,64.730038900812,43.523499309764
78,5,57.6094273390908,38.6460429737018
78,5,62.3768067909229,38.4070505887845
78,10,60.3057015402714,39.9050332328322
78,10,63.2510523865708,39.8302314506315
78,25,59.246760978891,38.7183951745285
78,25,60.3708699286863,38.118260738882
78,25,55.0094259097108,33.7211607282625
78,25,58.7494799457835,32.6016248842887
78,25,54.6720218576451,35.2891739674224
78,25,56.2857644792169,33.977650590758
78,50,55.9221560259376,33.6493811538462
78,50,56.4591117677426,34.9933968964585
78,50,55.4256015078176,33.9566504577299
78,50,58.6590964835035,35.1704161048868
78,100,60.2440501101473,41.4101289845295
78,100,59.5074146172996,40.4963127392649
78,200,59.6517403835186,40.1355973093192
78,200,60.5539306877895,37.4807507678845
78,500,69.5091044014581,44.5512779293128
78,500,65.8339084926673,46.8223966195637
