t,input_il6,Compound_5_Obs,Compound_6_Obs
200,0.1,45.691596724277,25.4855979195272
200,0.1,48.578058279068,26.5335921779752
200,0.5,49.9186185971475,27.5164974902153
200,0.5,52.9621889354285,29.6640957464893
200,1,52.8065770310448,27.6632129475867
200,1,55.838616980314,27.1705128214357
200,2.5,52.5340834796543,28.822406320738
200,2.5,53.5620755587966,31.7123637425192
200,5,53.9350589957831,32.3708001305222
200,5,54.8080399456781,31.8634237279816
200,10,51.9102464001037,31.5107992965564
200,10,52.338164741712,34.6205564018064
200,25,56.7979151727383,37.4463746284668
200,25,58.9997248174945,38.5423301969892
200,50,57.8801537626066,40.5395396446229
200,50,59.3071224596549,42.1705435136213
200,100,57.4291699236562,43.1923038506736
200,100,60.7997879264311,44.063226196429
200,500,58.0405816162381,45.2015520222058
200,500,61.8791201419516,45.1707449790129
