t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs
0,29.1353488491137,-0.000613823358984541,26.0725581860126,26.1508459949776,51.6617961813143,23.7716361296825,-0.00487302105706278
6,NaN,NaN,NaN,NaN,NaN,43.0661203898246,NaN
6.5,47.9071066955977,NaN,NaN,25.4582343682773,69.3735350229739,NaN,NaN
7.5,NaN,NaN,23.8989603803466,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,0.124285517016883
8.5,NaN,0.129179762150594,NaN,NaN,NaN,NaN,NaN
15,62.4370410618235,0.264279733201415,24.7263673936116,24.4684022311427,75.147000112304,65.5367075042914,0.696049411329303
20,63.6325962376433,NaN,NaN,25.1006523994504,73.4784720946038,62.1435978849715,NaN
25,59.029737295813,0.268241793767539,22.7601619076149,26.8459414880179,NaN,57.1495124066996,2.50056658922588
30,NaN,NaN,NaN,NaN,63.5924300586988,NaN,NaN
35,47.2879435939671,0.15612474135059,25.1155965485832,26.4357453206742,70.434671964192,45.8428927346276,2.79349962281181
40,NaN,NaN,NaN,NaN,NaN,43.7739669036775,NaN
45,44.3750974763418,0.107330576472637,24.4383660608554,24.5500897594324,63.5642505976847,NaN,1.89331318482823
50,NaN,NaN,NaN,NaN,NaN,40.9012357174754,NaN
55,41.3075335188755,NaN,26.9011995911496,25.3949243500671,62.6432191154526,NaN,1.43440983911508
60,NaN,0.0787656779139957,NaN,NaN,NaN,NaN,NaN
65,39.475243114308,NaN,NaN,25.0987118420458,NaN,40.7275995833331,NaN
70,NaN,NaN,25.7735296868367,NaN,60.5112238986346,NaN,0.90385520327112
75,NaN,0.0791648230247278,NaN,NaN,NaN,39.4402291660683,NaN
80,41.401079753691,NaN,NaN,23.443581919454,NaN,NaN,NaN
85,NaN,NaN,26.0431247489524,NaN,63.6759037034379,NaN,0.759986509417435
90,NaN,0.0723583387010074,NaN,NaN,NaN,38.2902899909863,NaN
95,35.2888584721953,NaN,NaN,NaN,NaN,NaN,NaN
100,45.4322727728924,0.0848968120152235,26.1195042918371,26.5479680080297,58.0535988902121,36.5487355085247,0.773172824782798
150,42.0310084371267,0.063909492036863,24.4468696492372,NaN,NaN,40.1978671493166,0.774665169881425
