t,input_il6,Compound_5_Obs,Compound_6_Obs
1100,0.1,46.0108330413361,24.7592509455337
1100,0.1,49.7184395985221,26.320409053531
1100,0.5,54.8273228815287,28.2801055108506
1100,0.5,51.3419170316498,27.5348973070589
1100,1,56.3295001586122,30.4981495776817
1100,1,56.3826604672615,28.6093427633861
1100,2.5,53.3105921960237,35.2014585526638
1100,2.5,54.8880059462877,33.0642791565465
1100,5,58.7062251111704,42.5410355172658
1100,5,62.1900724436055,42.9571798059486
1100,10,51.731939222678,28.9144242785576
1100,10,54.682078263619,30.0955014712921
1100,25,55.8095903238842,34.5518707712213
1100,25,57.7532524347923,37.2348892930912
1100,50,54.2744764278523,31.7959944702248
1100,50,58.1339938893456,35.9677859298215
1100,100,59.6723961860606,40.3221245317392
1100,100,56.6380134071474,40.992828787703
1100,500,64.4032225915549,42.9798883779756
1100,500,65.8114601680093,45.8101610613021
