t,Compound_2_Obs,Compound_4_Obs
0,0.00791554365315243,26.5857244190111
15,NaN,23.7028200614768
20,0.183026948883152,NaN
35,NaN,24.0985563315847
40,0.178935281352718,NaN
50,NaN,22.5690046679192
65,0.164328191432814,NaN
70,NaN,22.6709805572237
85,0.156350093884152,NaN
90,NaN,23.1245673192022
100,0.166221041885225,22.5171730560932
150,0.127537850605977,26.4029273547469
200,0.123781712051348,25.0951925327047
250,0.111293591748095,25.2777209275767
300,0.0928432483546327,23.132244827727
350,0.079271748173173,23.007760773665
450,0.0774141321189605,25.2765780533217
