t,input_il6,Compound_1_Obs,Compound_4_Obs
0,2.5,25.4318023756593,26.0384421225296
0,2.5,25.7265730612205,27.4676363801605
0,2.5,25.8248937211294,25.7994234368485
0,2.5,27.2065790675997,25.5737867515966
0,2.5,30.134763054418,24.1682154491659
0,10,25.1463545992907,26.1069059233122
0,10,26.2450802673745,26.1061728361877
0,10,27.7090573462644,25.9941088129002
0,10,28.8195040807362,24.7817765263269
0,10,28.8925719193283,26.7648510503796
0,60,26.0019965901315,24.5602360713659
0,60,26.5919515021881,27.5366554570468
0,60,27.4285812181051,27.1763806814118
0,60,27.485190515951,26.3853484211183
0,60,28.268040803993,26.5247769608066
0,120,24.6381702711663,25.5600018128186
0,120,24.9251599765585,24.6519657017837
0,120,26.1395248057187,22.9977502251709
0,120,27.0279344106835,28.5310804765317
0,120,28.4639406478958,25.6995821068495
