t,input_ruxolitinib,Compound_3_Obs
13,0,25.4162493711706
13,0,24.6003130632034
13,0,24.136698163119
13,0,25.0782381432388
13,10,22.9154275451288
13,50,24.8160025424687
13,50,24.9986991024112
13,100,23.0994257893515
13,200,25.5486488731593
13,400,24.0715991984478
13,400,23.8902695529015
13,400,25.9661280258741
13,400,25.002920429393
13,500,22.3716199495104
13,600,22.5724872377007
13,600,24.7853589155219
13,800,25.8828671253129
13,1000,24.9561832038997
13,2000,26.0777107188297
13,5000,26.1413953041843
13,5000,26.9832654929265
