t,input_il6,Compound_5_Obs,Compound_6_Obs
110,0.1,48.9005236107382,24.1638431738617
110,0.1,49.1315522779041,22.5846573335959
110,0.5,48.1288187625972,23.3842664909326
110,0.5,50.5534080415318,23.322983837699
110,1,49.5309631284611,22.6343977557754
110,1,51.0337171936493,25.3615312507344
110,2.5,49.560370000035,26.1459294225055
110,2.5,51.278830976612,26.3562083501776
110,5,50.9558356946899,31.9798267048752
110,5,55.832913009824,27.8172732949639
110,10,55.5534413698105,30.1618696044789
110,10,56.9037563170468,30.972502644383
110,25,54.9622083850533,33.6211185877908
110,25,58.3776871954118,34.5488961824977
110,50,56.2642189425583,36.4424965223618
110,50,57.5730887551202,36.7526040688842
110,100,57.0767657006891,39.2635807650243
110,100,58.1115536811904,39.6904392176429
110,500,58.8427407234176,42.5992778658882
110,500,64.9444587209287,41.6718948340071
