t,Compound_5_Obs,Compound_6_Obs
0,48.7856514845095,23.7506153998369
5,60.4022098046846,NaN
5.5,NaN,52.8411157242215
10,76.8235102260472,70.2062448583642
15,80.897714856914,70.0328714857274
20,81.4874694338142,NaN
25,NaN,60.1171418973234
30,74.0213520488278,50.6969562049774
35,72.799752880966,NaN
40,NaN,44.4562944360627
45,64.706247016063,NaN
50,NaN,44.8102971865617
55,57.1698381747468,NaN
60,NaN,42.010452869791
65,60.6329528091987,NaN
75,59.0221731840096,44.2415075369399
90,59.2117671415606,45.2924191930515
100,61.7158781114883,43.4402993442358
