t,input_il6,Compound_1_Obs,Compound_4_Obs
9,5,31.4211733161641,25.0124457561777
9,5,32.7371450534276,25.7570906473938
9,5,33.6201849519049,26.8670626652662
9,5,34.3324613450553,25.362097317721
9,20,42.4741489416985,24.7972653453454
9,20,46.120999167844,23.8585344366889
9,20,47.2031867612395,24.5216839823772
9,20,48.8133463109752,24.8105690488202
9,40,50.9752152869979,26.3605807590564
9,40,53.2267221562405,25.134157585747
9,40,54.2508527688681,23.8011900024639
9,40,57.4540758642613,25.4278062244709
9,90,66.7986573837541,23.8639353466006
9,90,67.2391251822833,23.7548153253357
9,90,67.4919704785808,24.5410421997643
9,90,68.6458479447864,21.6528120035628
