t,STAT5A_Obs,nucpApA_Obs,nucpApB_Obs
0,147.237037241619,-2.90009001236152,-4.11744870334137
15,12.8997006721128,150.637989938462,NaN
20,NaN,NaN,15.5510536251419
30,NaN,142.799883928919,NaN
35,22.2432302823411,NaN,NaN
40,NaN,135.179564586265,NaN
45,NaN,NaN,47.5138941747711
50,15.7752424673096,NaN,NaN
55,NaN,129.614893977449,NaN
70,19.3362450826526,NaN,70.1277479237624
75,NaN,131.878937403513,NaN
85,28.6539812866227,NaN,NaN
90,NaN,123.256062575312,NaN
95,NaN,NaN,77.8647686634722
100,22.2410172238849,124.507381067171,71.9217895766917
150,36.096333060399,94.6566261589335,113.176294013573
200,41.5048533218147,91.2660947516078,123.810929532114
250,52.9685589390047,55.1999698682351,141.413418970607
300,63.626441054972,36.2685077421583,138.765735470071
350,72.3672289292266,35.0842650623805,148.552454160564
400,75.7283092738703,NaN,NaN
450,NaN,NaN,154.75719243579
500,88.1016618170796,NaN,NaN
