t,Z_protein_Obs,X_mRNA_Obs,Z_mRNA_Obs
0,-77.0960674753631,218.167294088712,1058.60028780433
20,NaN,NaN,-23.3326293424287
25,NaN,2.44357029313621,NaN
35,13924.7944885978,NaN,NaN
45,NaN,6.84115628350154,1.20977723919525
70,7681.08807964281,-0.31148712180476,7.5420320431074
95,NaN,NaN,15.8441663999808
100,4562.85352719748,8.27115873356872,NaN
150,1452.88723178901,3.36041597324648,20.6123680261881
200,1269.67994532463,-11.9360708693954,-30.720530945285
250,-935.890445182798,-5.62686103837038,6.07012731634033
300,460.052632555001,-1.76806211435193,-18.6963755150736
350,1696.65235471681,NaN,NaN
400,NaN,2.86012753144242,7.92586257166897
450,2832.65391490066,NaN,NaN
550,2413.40103289881,NaN,NaN
