t,Rec_Obs,p_IL13_Rec_Obs,STAT5_Obs,DecoyR_Obs,SOCS3_Obs,CD274mRNA_Obs
0,0.946175551921366,0.00354899323725421,146.138644633497,0.321934245888611,-0.755501461885812,-1.25494991487194
10,NaN,0.0353543483100678,188.128040822481,NaN,-10.4362541394179,11.6591132716594
15,2.5472054123866,NaN,NaN,0.269132145045822,NaN,NaN
25,2.28181507053987,0.0398678022962609,110.471477076167,NaN,-0.271325021273433,-14.0434895180337
35,NaN,0.0482400788072689,NaN,0.156497631087874,NaN,21.3942527525796
40,1.96803584858906,NaN,127.59998249984,NaN,16.3074802368739,NaN
50,NaN,0.0357060941916943,NaN,NaN,NaN,37.9766445953641
55,1.61864406361516,NaN,120.952136816129,0.0987446997882097,56.1098039518664,NaN
65,NaN,0.0444438913502221,NaN,NaN,NaN,35.0345148103274
70,2.32574524100629,NaN,109.750777122621,NaN,75.6348314665627,NaN
75,NaN,NaN,NaN,0.0682025158401785,NaN,NaN
85,NaN,0.0415326752063743,NaN,NaN,92.927471192901,65.6814960830587
90,2.50417115199916,NaN,115.161540384685,NaN,NaN,NaN
100,2.57888522449783,0.0461181997333282,158.614428593811,0.0606263063223725,124.786986609121,116.147214814443
150,1.98901326741639,0.0379694635700152,91.5996461021802,0.00184518719416358,127.148292806905,147.383170122971
200,2.65779144752256,NaN,122.107212963237,0.0100121565922359,160.313224097499,203.738706487018
250,2.32090302149456,NaN,161.669933931181,0.00501124075611242,164.659935113217,201.109145952916
300,2.81069470029338,NaN,146.205955344623,-0.00020138679305621,181.303114115029,259.91214000349
