t,Rec_Obs,IL13_Rec_Obs,p_IL13_Rec_Obs,STAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs,IL13_DecoyR_Obs,SOCS3_Obs
0,0.827493166638798,1.64033566572743e-06,0.00707044497997196,160.336568465499,-19.5549687276445,0.342028209158837,-0.00834177197619422,8.06722259052502
4,NaN,NaN,NaN,NaN,NaN,0.242533518526945,0.080815507435368,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,0.193149349030185,NaN
8,NaN,NaN,NaN,NaN,NaN,0.177216639004287,NaN,NaN
10,2.30570586345013,NaN,0.21798411954931,NaN,NaN,0.148948932388205,0.176611836322946,13.1838326327213
15,NaN,NaN,NaN,132.938111640123,69.4636532852089,0.0814234755664054,0.203839776453628,NaN
20,NaN,9.49184487246589e-05,NaN,NaN,NaN,0.0335408129826982,0.304732202268986,NaN
25,1.92923247264852,NaN,0.192053853649803,131.095199851355,NaN,0.043880065725808,0.270484696047233,17.8416671745163
30,NaN,NaN,NaN,NaN,179.25067545217,NaN,0.376925733353161,NaN
35,2.07905152193004,9.75540027348462e-05,0.140420246189771,NaN,NaN,0.00230817023162805,0.332035482167757,19.1818878911146
40,NaN,NaN,NaN,99.7035045998169,NaN,0.00574648809445828,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,0.385173108653675,NaN
50,1.66192476694001,NaN,0.195442498061583,NaN,354.693179579387,0.00953538148832587,0.362990704327317,61.5079455631555
55,NaN,7.95939463381614e-05,NaN,103.173659756224,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,-0.013822494506369,0.339534152725406,NaN
65,2.32119196087707,NaN,0.137479552165337,NaN,NaN,NaN,NaN,81.4302272610964
70,NaN,NaN,NaN,146.599096319269,342.78235090293,-0.00440128982905347,0.360558951081192,NaN
75,NaN,0.000114760224225649,NaN,NaN,NaN,NaN,NaN,NaN
80,2.05370149569781,NaN,0.157587577623208,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116.874882668636
90,NaN,NaN,NaN,110.582069592161,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,634.253418861341,NaN,NaN,NaN
100,2.14398230961824,0.000151525541884161,0.127118387621541,112.909124764132,NaN,NaN,NaN,125.140333860037
150,1.27721225949486,0.000185172533484561,0.191092851204271,126.247647668906,892.878850194947,NaN,NaN,151.956026180794
200,2.10889353736547,0.000193066041118352,0.173480117076854,115.317127213134,1084.52938034109,NaN,NaN,149.995946804583
250,2.47242159952508,0.000189415961062222,0.183322473624502,84.9399014094048,NaN,NaN,NaN,194.944209482072
300,2.0723881928431,0.000166200092231029,0.156233084233761,104.543686757299,1744.69196645031,NaN,NaN,181.573540199835
