t,SOCS3mRNA_Obs,CD274mRNA_Obs
0,-19.1439264950936,49.7775016398666
10,NaN,22.9509901694501
15,78.8886003065712,NaN
25,NaN,32.4051501712045
30,32.3715832506369,NaN
35,NaN,87.072688727663
45,242.932272036768,NaN
50,NaN,40.2482590857634
60,429.912453739773,NaN
65,NaN,51.9551785602115
80,NaN,119.602402696952
85,524.844962891083,NaN
95,NaN,157.10602001726
100,642.037028500573,162.285935895672
150,950.429219989063,262.416293955389
200,1410.85452000413,386.637507509483
250,1862.23602479197,494.488610358947
300,1993.75701009755,513.986747912813
