t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs
0,7499.26038271239,10.3760348770231,9.47428996117138,0
2,2017.14842645399,NaN,NaN,NaN
3,NaN,97.1760151631128,NaN,2.19778675933955
3.5,NaN,NaN,144.276256256951,NaN
4,216.96628865839,NaN,NaN,NaN
6,NaN,61.1358780067955,NaN,NaN
6.5,33.4075885216881,NaN,NaN,6.63201473114548
7.5,NaN,NaN,590.04051287598,NaN
9,9.31316793936937,NaN,NaN,NaN
9.5,NaN,NaN,NaN,36.7177774149017
10,16.4807723568222,185.381801075157,658.622185280745,NaN
15,12.1260968589293,8913.68519928237,71759.164731381,2615.75866028947
20,NaN,377.898197596424,22946.6433573272,3534.06485640154
25,NaN,27.9545068409515,10947.4566901164,6479.24147788957
30,NaN,NaN,9800.80385774236,7753.365873843
35,NaN,NaN,NaN,9516.32482192802
40,NaN,NaN,4429.65922606786,NaN
45,NaN,NaN,2971.38558951794,4248.24839490314
55,NaN,NaN,2365.27547540466,NaN
70,NaN,NaN,831.959732764906,NaN
