timepoint,cGlu_Obs,Ind_Obs
0,-2.30132286477588,-0.00101513008637353
300,7.31676114615643,NaN
350,NaN,0.00449736743848732
550,8.30602657375579,NaN
750,NaN,0.00312737628583847
850,7.05981656211309,NaN
1000,11.6083648425464,0.00324508908883908
1500,9.79915823389505,0.0025331474534084
2000,11.161309729682,0.00287733697196892
2500,7.43898478731207,0.00351835340255445
3000,7.42701952923912,0.00130739478118733
3500,12.3328920505048,NaN
4000,7.41698686268155,0.00252609630149031
5000,7.27512465316552,0.00142472303620167
5500,5.90762556252807,NaN
6000,NaN,0.000890255957154477
6500,7.26631619444387,NaN
7000,NaN,0.00220236212923519
