timepoint,cGlu_Obs,Ind_Obs
0,-0.0708297565881395,-0.0216765534726265
350,NaN,0.0827515874245402
400,0.192774672908344,NaN
750,NaN,0.130378999514475
800,0.1424077034823,NaN
1000,0.456764581841138,-0.151490653779785
1500,0.913269636452286,0.400467922150382
2000,1.17736426434707,0.958608153209958
2500,1.27860176473862,1.17852296802849
3000,NaN,0.978105402062556
3500,1.33958161218602,1.09100655836154
4000,0.891415829914452,NaN
4500,NaN,0.972072301006549
5000,1.0728749114625,NaN
5500,NaN,0.597064807589885
6000,0.703847837038598,0.378531868353745
7000,0.595707049707316,NaN
7500,NaN,0.386141928476074
8500,0.303887185130971,NaN
