timepoint,cGlu_Obs,Ind_Obs
0,0.234449037478408,-0.000683268118287842
300,12.8931094591042,NaN
500,NaN,0.00428475796885975
650,6.80375618230983,NaN
1000,9.75950649968104,0.00320636474489171
1500,8.4800031409295,0.00319186820126277
2000,6.88960247998895,0.00282119807835915
2500,12.1381559058903,NaN
3000,9.47559065154392,0.00314039802599776
3500,NaN,0.00242474638635624
4000,10.9098505587376,NaN
4500,8.28819468795851,0.00198428122731173
5500,6.53014086452382,0.00156864039577484
6500,6.58855187867272,NaN
7000,NaN,0.00192146442621184
7500,6.39095928274822,NaN
8500,NaN,0.000325683127900974
