timepoint,cGlu_Obs,Ind_Obs
0,-0.585627876746624,-0.204561389253205
400,2.33279739355874,NaN
450,NaN,0.201275960613666
850,3.73957611377472,NaN
950,NaN,0.102604691673644
1500,5.88309698832382,1.33795579565596
2000,NaN,1.6090077587934
2500,3.69613209194652,1.58028221148195
3000,4.24363279316167,NaN
3500,4.35263585997647,0.969855925332011
4500,1.83120194974585,0.611162713272831
5500,3.42004794459871,0.479404499847538
6500,3.051720316128,NaN
7000,NaN,0.282750920416576
8000,2.11842628508332,NaN
8500,NaN,0.192580238390804
