timepoint,cGlu_Obs,Ind_Obs
0,0.155520941177695,0.000176613303618088
300,9.65219454976393,NaN
450,NaN,0.00386159779567599
650,7.96974047231999,NaN
900,NaN,0.00361538165023505
1000,10.9083735020293,NaN
1500,10.1774168920378,0.00244392695662449
2000,11.3044898977736,0.00258989299948892
2500,6.07774969521067,0.00208720981525092
3000,10.2553766840404,0.00256935600095051
3500,NaN,0.00169584514270855
4000,4.90425314191148,NaN
4500,6.0838355726942,0.00283116307736406
5500,8.47796381995338,0.00152584559733074
6500,4.62174625480776,0.00131390667747147
7500,4.63135145136531,NaN
8000,NaN,0.00110928116575576
