timepoint,cGlu_Obs,Ind_Obs
0,0.0749079310522305,0.081216422559688
400,-0.0777351441863068,NaN
450,NaN,0.0314422789258223
800,0.0888449069709967,NaN
900,NaN,-0.0796223662138498
1000,0.181696202836576,NaN
1500,0.192784362002755,0.150403269221131
2000,0.430324766572394,0.192524611184264
2500,0.423024752570687,0.124868502136939
3000,NaN,0.378784288116127
3500,0.884868468060674,NaN
4000,0.865517771251984,0.778067540427827
5000,1.0770440737394,0.724380419399324
6000,0.704499380968839,0.728898212091201
7000,0.751094970924357,0.492584894377595
8500,0.658976468597392,0.378430635069184
