timepoint,cGlu_Obs,Ind_Obs
0,-0.13440363342056,-0.00882365155136152
200,-0.019844863574521,NaN
400,0.102513010238706,NaN
450,NaN,-0.0391604192179583
600,0.124224126177211,NaN
850,0.0719405814108907,NaN
900,NaN,-0.051561204486168
1000,0.183565184951842,NaN
1500,0.209438570424218,0.00680070603238278
2000,0.364787333681997,-0.010831572906027
2500,0.601943731344164,0.149846202966621
3000,0.701345302265256,0.298275493563562
4000,NaN,0.660805007387055
4500,NaN,0.652548115394849
6000,NaN,0.648689955811404
7000,NaN,0.581240426871606
8500,NaN,0.407149565024314
