timepoint,cGlu_Obs,Ind_Obs
0,0.692995509966221,-0.0124446368800501
350,0.437650662539238,NaN
400,NaN,0.0268006848241787
750,0.840286007293069,NaN
800,NaN,0.0761089973312985
1000,0.197946919390658,NaN
1500,1.27572582366704,0.00676938112084523
2000,3.29464669897817,0.0179632756936534
2500,2.88833414718672,NaN
3000,6.75857386697325,0.303482282057603
3500,6.31332690656999,0.265585673444794
4500,4.36273646318504,0.274756977820423
5000,4.51591151291896,0.176252510201268
6000,4.89590476608007,NaN
6500,NaN,0.102076984503751
7500,2.62465313858063,0.06957614965999
8500,2.53812901809613,NaN
