timepoint,cGlu_Obs,Ind_Obs
0,-0.591095768536199,0.0885649495701549
350,1.73234677225676,NaN
400,NaN,0.0301099434881404
700,3.19884812287846,NaN
850,NaN,0.323434771343509
1000,6.35654662265153,NaN
1500,7.18883137086024,1.32919110247237
2000,4.74667601882605,1.34100845286135
2500,6.48945277456438,1.41480759008998
3000,2.26557065380521,0.917934347705611
3500,1.96991798438781,0.985218008660459
4000,4.64607461893144,NaN
4500,NaN,0.573036740978999
5000,3.04416501561186,NaN
5500,NaN,0.185599322789269
6000,2.37189925460129,NaN
6500,NaN,0.0974082068205154
7000,1.90429724883477,NaN
8000,0.334516407345079,0.521659615916224
