timepoint,cGlu_Obs,Ind_Obs
0,0.235478433130897,-0.041422388749045
350,0.140779366648001,NaN
400,NaN,0.140727514260568
700,0.161460152377814,NaN
850,NaN,0.0714030540743173
1000,0.120302934691214,NaN
1500,1.01944870105829,0.0811285758038387
2000,1.08992460595333,0.695496195532064
2500,1.03831026455371,1.00224772712795
3000,0.903808013518015,0.863026805284837
3500,1.0086631313993,0.979806455156816
4000,0.922470818620074,0.984840072862939
4500,0.994898881515431,NaN
5000,NaN,0.550133097307968
5500,0.489177525367523,NaN
6000,NaN,0.399294961913938
6500,0.688429078952095,NaN
7000,NaN,0.0635907074818511
7500,0.481710909147643,NaN
8500,0.567382673747599,0.31860427068161
