timepoint,cGlu_Obs,Ind_Obs
0,0.0280356400537829,-0.0205444835804262
400,1.76312540689534,0.0841651773565593
850,3.03450743504824,0.100199612077765
1500,7.88067534270586,0.890844120978427
2000,6.05415937951995,1.28962708594677
2500,7.73947361634047,1.60348284021419
3000,4.83065116595601,1.39871526142669
3500,NaN,0.971613029661427
4000,5.14604928520729,0.793956188659534
4500,4.70663681805565,NaN
5000,NaN,0.542169437930018
5500,3.09587581011965,NaN
6000,NaN,0.39937622755017
7000,3.07311739809591,0.10361046396449
8500,1.23559315770804,0.285901976791637
