timepoint,cGlu_Obs,Ind_Obs
0,-0.392099545133509,0.202669026355286
350,2.58316505250367,NaN
450,NaN,-0.10186667095753
750,4.16054835563068,NaN
900,NaN,0.111906453988267
1000,6.65011532601341,NaN
1500,6.50650181367123,1.70598125828162
2000,7.6888021501157,1.46258764678338
2500,6.58683381745493,1.1566683348062
3000,6.32345306660384,1.2348671237663
4000,4.99108687050457,0.509950502271242
4500,3.21962984415542,0.463718452755904
5500,2.10333457815036,NaN
6000,NaN,0.103689943119735
6500,1.80769887283034,NaN
7000,NaN,0.393472225138484
8000,2.10742856769144,NaN
8500,NaN,0.140628987310378
