timepoint,cGlu_Obs,Ind_Obs
0,-2.46766673167737,0.00044871494996232
300,7.72300627838277,NaN
400,NaN,0.00390431851377859
550,9.56801492746855,NaN
800,NaN,0.00404943071740389
850,9.2395004319134,NaN
1000,8.72983035136446,0.00328254037262012
1500,7.82897349358255,0.00309026757100291
2000,10.5486928009042,0.00250623084149812
2500,7.39367618751301,0.00244486695493857
3000,7.61532260460135,NaN
3500,8.55683732096414,0.00319874930954361
4000,4.86854532485575,0.00256377586873557
4500,5.43569168196475,NaN
5000,NaN,0.00158561194332033
5500,4.63542506742644,NaN
6000,NaN,0.000897017260029391
6500,4.79173620486782,NaN
7000,NaN,0.00196417099428974
