timepoint,cGlu_Obs,Ind_Obs
0,0.0665373032703816,0.100574852244026
450,0.197662962057441,0.136400263642515
900,0.120120986137726,NaN
950,NaN,0.30163550675843
1500,1.06798276893955,0.727913782777971
2000,1.5359425865818,1.39738763630925
2500,0.952371165042824,1.53152429398869
3000,0.908565443949273,NaN
3500,NaN,1.04497272130052
4000,0.794015010739038,0.933300069888539
5000,0.652740807061919,NaN
5500,NaN,0.281670387684677
6000,0.283695011954251,NaN
6500,NaN,0.269412770498446
7000,0.324387695048354,NaN
8000,NaN,0.311215438681314
8500,0.245497468780169,NaN
