timepoint,cGlu_Obs,Ind_Obs
0,0.681739371189769,-0.0281997409362927
400,0.509813503687557,NaN
450,NaN,0.0315220957574903
800,3.40129278142431,NaN
900,NaN,0.0619531376922262
1000,4.78023048556805,NaN
1500,6.92761494077636,0.840801808030324
2000,7.96677245731825,1.5607778923133
2500,6.77205261191728,1.50441515896894
3000,NaN,1.30481107480952
3500,4.19220176697507,NaN
4000,2.49370245891745,0.836202112792573
4500,NaN,0.701934197139066
5000,2.36242969270501,NaN
6000,3.52316576158102,0.423868505396884
7000,1.93627609773519,0.307258690369287
8500,1.33920027763135,0.23448424294251
