timepoint,cGlu_Obs,Ind_Obs
0,-3.29682012915597,0.000191571290731965
250,9.81099217878144,NaN
400,NaN,0.00421637239479036
550,10.7427280261819,NaN
800,8.88435838766341,0.00297336958288487
1000,9.01911224146903,0.00354603063923907
1500,9.99979783121067,0.00299294853959962
2000,8.09602385763376,0.00376255064198504
2500,6.69181946848884,0.00168177069456074
3000,6.4401575544378,NaN
3500,NaN,0.00248359678169694
4000,4.83155520209062,0.00131511768111046
4500,7.08591965978264,0.001826630894547
5500,5.00403961898062,0.00338703848061308
6500,5.98669988726415,0.00169062823428104
8000,NaN,0.00102600481692303
