timepoint,cGlu_Obs,Ind_Obs
0,-0.321227053225054,0.0442364334040135
350,0.0951724509048763,-0.171284764373756
700,0.18351941581583,NaN
750,NaN,0.160048114204996
1000,0.475277607725095,-0.0511322883078423
1500,1.0577677539531,0.42810328212589
2000,1.2599748156774,1.20145919667556
2500,1.48051970480168,1.77189825119208
3000,1.25214807450673,1.61916740301346
3500,0.983031373500837,NaN
4000,NaN,1.08455169590677
4500,0.928613005466089,NaN
5000,0.598692919568903,0.54352723666766
6000,0.5473247960104,0.092361102448887
7000,NaN,0.162537419723596
7500,0.476932179415148,NaN
