conditionId	actd_level1	actd_t1	actd_t2	il6_level1	il6_tStep	input_actd	input_il6	input_ruxolitinib	input_stattic
D001_Sobotta_RS35_TC001	0	-11	-10	0	0	0	40	0	0
D002_Sobotta_RS35_TC002	0	-11	-10	0	0	0	0	0	0
D003_Sobotta_RS35_TC003	0	-11	-10	40	20	0	0	0	0
D004_Sobotta_RS35_TC004	0	-11	-10	40	5	0	0	0	0
D005_Sobotta_RS35_TC005	0	-11	-10	0	0	0	10	0	0
D006_Sobotta_RS35_TC006	0	-11	-10	0	0	0	20	0	0
D007_Sobotta_RS35_TC007	0	-11	-10	0	0	0	5	0	0
D008_Sobotta_RS35_TC008	0	-11	-10	0	0	0	80	0	0
D009_Sobotta_RS35_TC009	0	-11	-10	0	0	1	80	0	0
D010_Sobotta_RS35_TC010	0	0	30	0	0	1	80	0	0
D011_Sobotta_RS35_TC011	1	0	30	0	0	0	80	0	0
D012_Sobotta_RS35_TC012	1	0	30	0	0	1	80	0	0
D013_Sobotta_RS35_TC013	0	-11	-10	80	12	0	0	0	0
D014_Sobotta_RS35_TC014	0	-11	-10	80	24	0	0	0	0
D015_Sobotta_RS35_TC015	0	-11	-10	80	6	0	0	0	0
D016_Sobotta_RS35_TC016	0	-11	-10	80	90	0	0	0	0
D017_Sobotta_RS35_TC017	0	-11	-10	120	10	0	0	0	0
D018_Sobotta_RS35_TC018	0	-11	-10	30	40	0	0	0	0
D019_Sobotta_RS35_TC019	0	-11	-10	60	20	0	0	0	0
D020_Sobotta_RS35_TC020	0	-11	-10	20	20	0	0	0	0
D021_Sobotta_RS35_TC021	0	-11	-10	80	20	0	0	0	0
D022_Sobotta_RS35_TC022	0	-11	-10	40	12	0	0	0	0
D023_Sobotta_RS35_TC023	0	-11	-10	40	120	0	0	0	0
D024_Sobotta_RS35_TC024	0	-11	-10	40	24	0	0	0	0
D025_Sobotta_RS35_TC025	0	-11	-10	40	6	0	0	0	0
D026_Sobotta_RS35_TC026	0	-11	-10	0	0	0	100	0	0
D027_Sobotta_RS35_TC027	0	-11	-10	0	0	0	100	500	0
D028_Sobotta_RS35_TC028	0	-11	-10	0	0	0	50	0	0
D029_Sobotta_RS35_TC029	0	-11	-10	0	0	0	50	0	60
D030_Sobotta_RS35_TC030	0	-11	-10	0	0	0	500	0	0
D031_Sobotta_RS35_TC031	0	-11	-10	0	0	0	0.5	0	0
D032_Sobotta_RS35_TC032	0	-11	-10	0	0	0	50	0	40
D033_Sobotta_RS35_DR001	0	-11	-10	0	0	0	0	0	0
D034_Sobotta_RS35_DR001	0	-11	-10	0	0	0	120	0	0
D035_Sobotta_RS35_DR001	0	-11	-10	0	0	0	15	0	0
D036_Sobotta_RS35_DR001	0	-11	-10	0	0	0	30	0	0
D037_Sobotta_RS35_DR001	0	-11	-10	0	0	0	60	0	0
D038_Sobotta_RS35_DR002	0	-11	-10	0	0	0	0	0	0
D039_Sobotta_RS35_DR002	0	-11	-10	0	0	0	10	0	0
D040_Sobotta_RS35_DR002	0	-11	-10	0	0	0	120	0	0
D041_Sobotta_RS35_DR002	0	-11	-10	0	0	0	20	0	0
D042_Sobotta_RS35_DR002	0	-11	-10	0	0	0	40	0	0
D043_Sobotta_RS35_DR002	0	-11	-10	0	0	0	5	0	0
D044_Sobotta_RS35_DR002	0	-11	-10	0	0	0	80	0	0
D045_Sobotta_RS35_DR003	0	-11	-10	0	0	0	10	0	0
D046_Sobotta_RS35_DR003	0	-11	-10	0	0	0	120	0	0
D047_Sobotta_RS35_DR003	0	-11	-10	0	0	0	2.5	0	0
D048_Sobotta_RS35_DR003	0	-11	-10	0	0	0	60	0	0
D049_Sobotta_RS35_DR004	0	-11	-10	0	0	0	20	0	0
D050_Sobotta_RS35_DR004	0	-11	-10	0	0	0	40	0	0
D051_Sobotta_RS35_DR004	0	-11	-10	0	0	0	5	0	0
D052_Sobotta_RS35_DR004	0	-11	-10	0	0	0	90	0	0
D053_Sobotta_RS35_DR005	0	-11	-10	0	0	0	0.1	0	0
D054_Sobotta_RS35_DR005	0	-11	-10	0	0	0	1	0	0
D055_Sobotta_RS35_DR005	0	-11	-10	0	0	0	10	0	0
D056_Sobotta_RS35_DR005	0	-11	-10	0	0	0	100	0	0
D057_Sobotta_RS35_DR005	0	-11	-10	0	0	0	5	0	0
D058_Sobotta_RS35_DR005	0	-11	-10	0	0	0	50	0	0
D059_Sobotta_RS35_DR005	0	-11	-10	0	0	0	500	0	0
D060_Sobotta_RS35_DR006	0	-11	-10	0	0	0	0.1	0	60
D061_Sobotta_RS35_DR006	0	-11	-10	0	0	0	1	0	60
D062_Sobotta_RS35_DR006	0	-11	-10	0	0	0	10	0	60
D063_Sobotta_RS35_DR006	0	-11	-10	0	0	0	100	0	60
D064_Sobotta_RS35_DR006	0	-11	-10	0	0	0	5	0	60
D065_Sobotta_RS35_DR006	0	-11	-10	0	0	0	50	0	60
D066_Sobotta_RS35_DR006	0	-11	-10	0	0	0	500	0	60
D067_Sobotta_RS35_DR007	0	-11	-10	0	0	0	0.1	500	0
D068_Sobotta_RS35_DR007	0	-11	-10	0	0	0	1	500	0
D069_Sobotta_RS35_DR007	0	-11	-10	0	0	0	10	500	0
D070_Sobotta_RS35_DR007	0	-11	-10	0	0	0	100	500	0
D071_Sobotta_RS35_DR007	0	-11	-10	0	0	0	5	500	0
D072_Sobotta_RS35_DR007	0	-11	-10	0	0	0	50	500	0
D073_Sobotta_RS35_DR007	0	-11	-10	0	0	0	500	500	0
D074_Sobotta_RS35_DR008	0	-11	-10	0	0	0	0	0	0
D075_Sobotta_RS35_DR008	0	-11	-10	0	0	0	0.0005	0	0
D076_Sobotta_RS35_DR008	0	-11	-10	0	0	0	0.005	0	0
D077_Sobotta_RS35_DR008	0	-11	-10	0	0	0	0.05	0	0
D078_Sobotta_RS35_DR008	0	-11	-10	0	0	0	0.1	0	0
D079_Sobotta_RS35_DR008	0	-11	-10	0	0	0	0.5	0	0
D080_Sobotta_RS35_DR008	0	-11	-10	0	0	0	1	0	0
D081_Sobotta_RS35_DR008	0	-11	-10	0	0	0	10	0	0
D082_Sobotta_RS35_DR008	0	-11	-10	0	0	0	100	0	0
D083_Sobotta_RS35_DR008	0	-11	-10	0	0	0	2.5	0	0
D084_Sobotta_RS35_DR008	0	-11	-10	0	0	0	200	0	0
D085_Sobotta_RS35_DR008	0	-11	-10	0	0	0	25	0	0
D086_Sobotta_RS35_DR008	0	-11	-10	0	0	0	5	0	0
D087_Sobotta_RS35_DR008	0	-11	-10	0	0	0	50	0	0
D088_Sobotta_RS35_DR008	0	-11	-10	0	0	0	500	0	0
D089_Sobotta_RS35_DR009	0	-11	-10	0	0	0	0.1	500	0
D090_Sobotta_RS35_DR009	0	-11	-10	0	0	0	0.5	500	0
D091_Sobotta_RS35_DR009	0	-11	-10	0	0	0	1	500	0
D092_Sobotta_RS35_DR009	0	-11	-10	0	0	0	10	500	0
D093_Sobotta_RS35_DR009	0	-11	-10	0	0	0	100	500	0
D094_Sobotta_RS35_DR009	0	-11	-10	0	0	0	2.5	500	0
D095_Sobotta_RS35_DR009	0	-11	-10	0	0	0	25	500	0
D096_Sobotta_RS35_DR009	0	-11	-10	0	0	0	5	500	0
D097_Sobotta_RS35_DR009	0	-11	-10	0	0	0	50	500	0
D098_Sobotta_RS35_DR009	0	-11	-10	0	0	0	500	500	0
D099_Sobotta_RS35_DR010	0	-11	-10	0	0	0	0	0	60
D100_Sobotta_RS35_DR010	0	-11	-10	0	0	0	0.5	0	60
D101_Sobotta_RS35_DR010	0	-11	-10	0	0	0	1	0	60
D102_Sobotta_RS35_DR010	0	-11	-10	0	0	0	10	0	60
D103_Sobotta_RS35_DR010	0	-11	-10	0	0	0	100	0	60
D104_Sobotta_RS35_DR010	0	-11	-10	0	0	0	2.5	0	60
D105_Sobotta_RS35_DR010	0	-11	-10	0	0	0	25	0	60
D106_Sobotta_RS35_DR010	0	-11	-10	0	0	0	5	0	60
D107_Sobotta_RS35_DR010	0	-11	-10	0	0	0	50	0	60
D108_Sobotta_RS35_DR010	0	-11	-10	0	0	0	500	0	60
D109_Sobotta_RS35_DR011	0	-11	-10	0	0	0	0.1	0	0
D110_Sobotta_RS35_DR011	0	-11	-10	0	0	0	0.5	0	0
D111_Sobotta_RS35_DR011	0	-11	-10	0	0	0	1	0	0
D112_Sobotta_RS35_DR011	0	-11	-10	0	0	0	10	0	0
D113_Sobotta_RS35_DR011	0	-11	-10	0	0	0	100	0	0
D114_Sobotta_RS35_DR011	0	-11	-10	0	0	0	2.5	0	0
D115_Sobotta_RS35_DR011	0	-11	-10	0	0	0	25	0	0
D116_Sobotta_RS35_DR011	0	-11	-10	0	0	0	5	0	0
D117_Sobotta_RS35_DR011	0	-11	-10	0	0	0	50	0	0
D118_Sobotta_RS35_DR011	0	-11	-10	0	0	0	500	0	0
D119_Sobotta_RS35_DR012	0	-11	-10	0	0	0	0.1	500	0
D120_Sobotta_RS35_DR012	0	-11	-10	0	0	0	0.5	500	0
D121_Sobotta_RS35_DR012	0	-11	-10	0	0	0	1	500	0
