t,p12EpoRpJAK2_Obs,CISnRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.00977003919292163,13.4252065979984,-3.23468138203734e-05,-0.00170640211982708
5.5,0.317206951117147,NaN,NaN,NaN
8.5,NaN,38.4367269326506,NaN,NaN
10,0.517077313207366,NaN,0.000261390306731876,0.00322635206663916
15,0.390726389587616,-13.53407117701,NaN,NaN
25,0.162717639701629,157.395090476564,0.00131420311306643,0.010769074012292
30,0.118542975379668,NaN,NaN,NaN
35,NaN,423.543407425553,0.00135745718267153,0.0229068379292899
40,0.0706004360336571,NaN,NaN,NaN
45,NaN,770.391210005484,NaN,NaN
50,0.0621318231371893,NaN,0.00123493328582585,0.0378843156514042
60,0.0533853342845247,966.653587335284,NaN,NaN
65,NaN,NaN,0.00102421765434197,0.0454642211531757
70,NaN,1040.72871038859,NaN,NaN
75,0.0280555526204994,NaN,NaN,NaN
80,NaN,NaN,NaN,0.0507901340082851
85,NaN,987.615161945334,0.000797124991727616,NaN
90,0.036561057667661,NaN,NaN,NaN
100,NaN,891.26353194056,0.000616452242448292,0.0526525983514078
150,NaN,579.707237802396,0.000464225935003398,0.0537571589946633
200,NaN,405.412644759645,0.000453915876316182,0.0479299688969715
