t,p12EpoRpJAK2_Obs,pSTAT5_Obs,npSTAT5_Obs,SHP1Act_Obs
0,0.00239169418062829,2.92123748877239,1.17858543749315,-0.0127969055195345
15,NaN,126.475335038939,NaN,NaN
20,0.262035764158228,NaN,24.7883895967626,NaN
25,NaN,119.129468974789,NaN,0.249065030415716
40,0.107201117693687,110.612303459666,27.4970773504123,NaN
50,NaN,NaN,NaN,0.310214118806181
55,NaN,100.613570310042,NaN,NaN
60,NaN,NaN,27.399735510236,NaN
65,0.0706472493668656,NaN,NaN,NaN
75,NaN,77.7356241512744,NaN,0.363334106393338
80,NaN,NaN,24.2748338772509,NaN
90,0.0655660835776984,NaN,NaN,NaN
95,NaN,81.968562677803,NaN,NaN
100,0.0594393730672175,83.6317571064236,27.852323281882,0.384773832840809
150,0.0501577878869856,74.4297395641313,24.4304889278553,0.381872956769435
200,0.0499527083691359,83.582800727065,21.8457692387809,0.39749174664833
250,0.0458229843009624,77.428681749409,21.7630172916716,0.425475030234133
300,0.0442859988007615,77.0469633824799,NaN,0.421610915094907
350,NaN,NaN,23.1772488723417,NaN
400,0.048793680405684,NaN,NaN,0.402799872113351
