t,p12EpoRpJAK2_Obs,CISnRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,0.0017746172936499,-1.08451469167666,7.79052898763783e-06,0.000463260531016534
10,0.00181839548629914,-31.0694228258223,NaN,NaN
15,NaN,NaN,0.000115765519357341,0.00101603409050688
20,0.246099494743233,NaN,NaN,NaN
25,NaN,53.5528499628135,NaN,NaN
35,0.110653954654842,NaN,0.000509900678014839,0.00433112405528585
40,NaN,178.563648080602,NaN,NaN
45,0.0782170060349014,NaN,NaN,NaN
50,NaN,268.395815861363,0.000518782069266309,NaN
55,NaN,NaN,NaN,0.0121516892257857
60,0.0543367560177064,NaN,NaN,NaN
70,NaN,441.981412294763,NaN,NaN
75,NaN,NaN,0.000619976334540532,0.0201330528459807
80,0.0388321962401895,NaN,NaN,NaN
85,NaN,518.893505152647,NaN,NaN
95,NaN,NaN,0.00057209046640244,NaN
100,0.0451055795829159,543.855311561521,0.000563760846481049,0.027903284123136
150,0.0318743008948959,513.368619982029,0.00053185861589745,0.0369552289292283
200,NaN,425.060807685291,0.000437010307367304,0.0389309397511826
250,NaN,380.631421039282,0.00040869700550813,0.037281667895402
300,NaN,348.287086605299,0.000419531206849547,NaN
