t,epo_level,p12EpoRpJAK2_Obs,CISnRNA3_Obs
8,2.5e-09,0.0199252130600511,-0.0663677550286886
8,2.5e-09,0.0274873501889694,0.078482962058852
8,2.5e-09,0.0327467071202859,9.82738643252913e-05
8,7.905e-09,0.0273179120192617,0.0195477190882045
8,7.905e-09,0.0712516264327296,0.0331214180896253
8,7.905e-09,0.0778506297290755,-0.19843815224134
8,1.25e-08,0.0729447668367297,0.0103236841735222
8,1.75e-08,0.0817085204967897,-0.0523033529117264
8,2.5e-08,0.129240001906103,0.141919844057982
8,3.95e-08,0.212308191998259,0.193069309295866
8,7.9e-08,0.343099096711552,0.40012966416747
8,7.9e-08,0.360468591608587,0.502936284992659
8,7.9e-08,0.377353286997005,0.498219239881164
8,1.25e-07,0.433254964178417,0.725342474699829
8,1.7675e-07,0.539009269384742,1.26808701076431
8,1.7675e-07,0.549692562718798,1.01796565191062
8,1.7675e-07,0.576854958544701,1.1572571298484
8,2.5e-07,0.60517814284994,1.645162569081
8,7.905e-07,0.686704979616752,3.53876941552128
8,7.905e-07,0.717462250266986,3.55519678373745
8,7.905e-07,0.724883208961449,3.56959592564236
8,2.5e-06,0.690081679055536,5.10768447500092
8,2.5e-06,0.713280205222317,5.13194424340636
8,2.5e-06,0.737615331269915,5.15676255154818
