t,p12EpoRpJAK2_Obs,CISnRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.00103082818216224,5.7654641372924,-3.39246200695083e-05,9.56930752717661e-05
4.5,0.166202847696442,NaN,NaN,NaN
8,NaN,21.6828041657505,NaN,NaN
9.5,0.133308235174294,NaN,NaN,NaN
10,NaN,NaN,0.00021660217026364,0.000752057646617705
15,0.0523320899810135,27.3729909051596,NaN,NaN
20,0.0302060709310752,NaN,0.000831704545739643,0.00289841299251196
25,NaN,172.506213769059,NaN,NaN
30,0.0165111772513531,NaN,0.00102465657500065,NaN
35,0.0109551509272424,335.244776475115,NaN,0.0145533816047748
40,NaN,429.81018518438,NaN,NaN
45,0.00642173902611418,NaN,0.000946011395655927,0.0240654917922497
50,NaN,621.414827631024,NaN,NaN
55,0.00649339909150971,NaN,0.000824407832754442,NaN
60,NaN,NaN,NaN,0.0294372911152712
65,NaN,733.262801038016,NaN,NaN
70,NaN,NaN,0.000745975112608326,NaN
75,NaN,734.942695695764,NaN,NaN
80,NaN,NaN,NaN,0.0373574364268634
90,NaN,NaN,0.000568769369920109,NaN
95,NaN,624.003287687034,NaN,0.039333832089609
100,NaN,602.72432540898,0.000463974133196856,0.0404704199143985
150,NaN,362.419104803165,0.000389656317518356,0.0376990017409767
200,NaN,263.376618461009,NaN,0.0331837456755153
