t,p12EpoRpJAK2_Obs,CISnRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.0019810321017888,-2.51763202688353,-4.26959605172247e-07,0.000116595362301048
8,0.0089709308432826,NaN,NaN,NaN
10,NaN,-1.34958897983415,NaN,NaN
15,0.0326268577283852,NaN,6.1166829848143e-06,-0.000103186533009113
25,0.0426225342764328,1.72848428660367,NaN,NaN
30,NaN,NaN,3.35301631152868e-05,NaN
35,0.0248588492502615,7.44205259842403,NaN,0.000314537019396793
45,0.0150075497525036,NaN,5.33326158145717e-05,NaN
50,NaN,20.7406627927577,NaN,NaN
55,NaN,NaN,NaN,0.00120852789009144
60,0.00952113717630501,NaN,6.07273001474323e-05,NaN
65,NaN,31.199601953306,NaN,NaN
70,0.00665091953451109,NaN,NaN,NaN
75,NaN,NaN,NaN,0.00177040372339573
80,NaN,45.5790016440651,6.16841649708811e-05,NaN
90,0.0059449997872785,NaN,NaN,NaN
95,NaN,52.9014569796696,NaN,NaN
100,0.00592222670260275,49.5801117152411,5.93005130436067e-05,0.00271493053561509
150,NaN,53.9602855195277,5.41168261254117e-05,0.00371802042087987
200,NaN,46.2946591960167,5.16824681476093e-05,0.00410820880728447
250,NaN,45.8672161523025,5.39471064895522e-05,0.00424225962887572
300,NaN,44.9219771935767,5.47989799403581e-05,0.00431682859809066
