t,p12EpoRpJAK2_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.00248829958127897,3.20445651758962,0.202919035926281,-24.1532670307692,-12.0743521487747,0.295427749471493,8.22391665298596e-06,-1.11717080880431e-05,0.000554113656547624
15,0.404960792521748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,427.878284471757,144.653119622713,NaN,NaN,NaN,NaN
30,0.117868961248487,84.5856539300084,25.3750402406349,NaN,NaN,1.01296036884853,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,0.00143263115734048,NaN,NaN
45,0.0644064862694695,NaN,NaN,NaN,NaN,NaN,NaN,0.00126364323305399,NaN
50,NaN,NaN,NaN,1040.54202444329,898.192494037846,NaN,NaN,NaN,NaN
55,NaN,62.4187037581655,NaN,NaN,NaN,NaN,NaN,NaN,0.0385988660903842
60,NaN,NaN,18.7891456142878,NaN,NaN,6.56124779529798,NaN,NaN,NaN
65,0.0388795676363659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,1013.1762968497,1073.67699731996,NaN,0.000941342234318223,NaN,NaN
85,0.038656104737389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,41.9209405967449,14.431030133596,NaN,NaN,22.8717448094887,NaN,0.000781130109110033,NaN
100,0.0276017703527212,42.0094902308046,12.9122860890965,868.604854138005,894.379691667232,NaN,0.000754414656065315,NaN,0.0565226022280755
150,0.028972450156106,26.4827060372329,8.17146359655046,516.99854292781,581.989169888527,40.0186980360603,0.000524165827697017,0.00045651275407201,0.054668508861042
200,0.0344528952940359,27.6385080412711,7.37643983589895,372.316793084206,360.98682303818,38.280694881716,0.000397581177467658,0.0004070577866064,NaN
250,0.0364566744802578,26.2826428344339,7.51170755963486,330.347379823944,350.225931105542,30.4844512342705,0.000394882691131022,0.000373994199857196,0.0447538558755814
300,NaN,27.8197061928136,7.20021037273211,NaN,NaN,NaN,NaN,0.000387426231372135,0.0391138232494313
350,NaN,25.7420352606621,6.89068600784573,NaN,322.271610389828,25.9986478521994,0.000390235243709343,NaN,NaN
400,NaN,NaN,NaN,NaN,364.422495386378,25.4136834930815,NaN,0.000434268312713944,0.0351988248067863
450,NaN,24.4552422772403,7.71718144291072,NaN,NaN,NaN,0.000392565626604072,NaN,0.0374097716906473
500,NaN,NaN,NaN,NaN,NaN,26.7979172409759,0.000467055274568185,0.000404759684128586,NaN
550,NaN,30.0422330819208,8.10917604995433,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000402408831943075,0.0386874081505835
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0395040740396566
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0332880899681484
