t,p12EpoRpJAK2_Obs,CISnRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.0044058639762167,3.51209659022997,-6.51432415308546e-06,-0.000433980536884723
4,0.141229021787293,NaN,NaN,NaN
8.5,0.159283564340583,NaN,NaN,NaN
9.5,NaN,-17.9089143376533,NaN,NaN
10,NaN,NaN,0.000248059560535871,0.00230049429937313
15,0.0448792846360007,NaN,NaN,NaN
20,0.0284810535138276,82.5157884073633,0.000809330669182872,0.00409028943432062
25,0.0249628091815086,NaN,NaN,NaN
30,0.0164030536238432,212.847971415264,NaN,0.0126994184881197
35,NaN,NaN,0.000960476269542537,NaN
40,0.0098110187591247,446.644005855786,NaN,0.0189296619646695
45,NaN,NaN,0.000946197927252767,NaN
50,0.011053624912883,635.021314329007,NaN,NaN
55,NaN,NaN,NaN,0.027674308644686
60,NaN,NaN,0.000854862215149937,NaN
65,NaN,740.378334045948,NaN,NaN
70,NaN,NaN,NaN,0.033156910847488
75,NaN,NaN,0.000713547601131567,NaN
80,NaN,750.03012485246,NaN,NaN
85,NaN,NaN,NaN,0.0392539504154901
95,NaN,NaN,0.000548523169772997,NaN
100,NaN,646.307632880782,0.000546417949809154,0.0395358952903054
150,NaN,397.738210499651,0.000360543464874329,0.0366936896872231
200,NaN,255.08365791099,0.00026633887083423,0.0338787001638859
